sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
3.068;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;IAMhaggler2012@118;Gahboninho@119;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
3.242;179;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;NiceTitForTat@120;Gahboninho@121;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
3.468;180;;180rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;Gahboninho@122;NiceTitForTat@123;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;party1_utility.xml;party2_utility.xml
3.828;181;;180rounds;Yes;No;2;0.28889;0.92083;0.07103;0.65393;1.20973;KLH@124;NiceTitForTat@125;0.9208333333333333;0.2888941102114142;0.9208333333333333;0.2888941102114142;0.0;0.0;party1_utility.xml;party2_utility.xml
0.617;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Group8_BoaParty@126;KLH@127;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.787;178;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Yushu@128;KLH@129;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
1.834;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@130;KLH@131;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.610;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@132;KLH@133;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.015;4;;180rounds;Yes;No;2;0.64583;0.98352;0.02068;0.14963;1.62936;TheFawkes@134;KLH@135;0.6458333333333333;0.9835232614447449;0.6458333333333333;0.9835232614447449;0.0;0.0;party1_utility.xml;party2_utility.xml
2.735;170;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2012@136;KLH@137;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
3.419;180;;180rounds;Yes;No;2;0.72167;0.92793;0.04826;0.06334;1.64959;NiceTitForTat@138;KLH@139;0.7216666666666667;0.9279255161862858;0.7216666666666667;0.9279255161862858;0.0;0.0;party1_utility.xml;party2_utility.xml
0.109;181;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Gahboninho@140;KLH@141;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
0.124;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@142;Gahboninho@143;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
